,x,expansion
4258,yesh,yes
4259,yew,you
4260,yfb,you fucking bastard
4261,yfg,you're fucking gay
4262,yfi,you fucking idiot
4263,ygg,you go girl
4264,ygm,You Got Mail
4265,ygp,you got punked!
4266,ygpm,you've got a private message
4267,ygrr,you got rick rolled
4268,ygtbfkm,you've got to be fucking kidding me
4269,ygtbk,you've got to be kidding
4270,ygtbkm,you got to be kidding me
4271,ygtbsm,You've got to be shitting me
4272,ygtsr,you got that shit right
4273,yh,yeah
4274,yhbt,you've been trolled
4275,yhew,you
4276,yhf,you have failed
4277,yhgtbsm,You Have Got To Be Shitting Me
4278,yhl,you have lost
4279,yhm,You have mail
4280,yhni,you have no idea
4281,yhpm,you have a private messge
4282,yhtbt,You Had To Be There
4283,yid,yes  I do
4284,yim,yahoo instant messenger
4285,yiwtgo,Yes  I want to go private
4286,yk,you kidding
4287,yki,You know it
4288,ykisa,Your knight in shining armor
4289,ykm,You're killing me
4290,ykn,you know nothing
4291,ykw,You Know What
4292,ykwim,you know what I mean
4293,ykwya,you know who you are
4294,ykywywm,you know you wish you were me
4295,ylb,you little bitch
4296,ym,your mom
4297,ymbkm,you must be kidding me
4298,yme,why me
4299,ymfp,Your Most Favorite Person
4300,ymg2c,your mom goes to college
4301,ymgtc,Your Mom Goes To college
4302,ymiaw,your mom is a whore
4303,ymislidi,you make it sound like i did it
4304,ymmd,You Made My Day
4305,ymmv,your mileage may vary
4306,ymrasu,Yes  My Retarded ass Signed Up
4307,yn,why not
4308,yng,young
4309,ynk,you never know
4310,ynm,yes  no  maybe
4311,ynt,why not
4312,ynw,you know what
4313,yo,year old
4314,yo',your
4315,yodo,you only die once
4316,yolo,you only live once
4317,yolt,you only live twice
4318,yomank,you owe me a new keyboard
4319,yooh,you
4320,yor,your
4321,youngin,young person
4322,yoy,why oh why
4323,ypmf,you pissed me off
4324,ypmo,you piss me off
4325,ypom,your place or mine
4326,yqw,you're quite welcome
4327,yr,year
4328,yrbk,Yearbook
4329,yrms,You Rock My Socks
4330,yrs,years
4331,yrsaf,You Are Such A Fool 
4332,yrsm,you really scare me
4333,yrss,you are so sexy
4334,yru,why are you?
4335,yrubm,why are you bugging me?
4336,yrusm,Why are you so mean
4337,ys,you suck
4338,ysa,You Suck ass
4339,ysal,you suck at life
4340,ysati,you suck at the internet
4341,ysf,you stupid fuck
4342,ysic,why should I care
4343,ysitm,your shirt is too small
4344,ysm,you scare me
4345,ysoab,You son of a bitch
4346,yss,you stupid shit
4347,yswnt,why sleep when not tired?
4348,yt,You there?
4349,ytd,year to date
4350,ytf,why the fuck
4351,ytfwudt,why the fuck would you do that?
4352,ythwudt,Why the hell would you do that
4353,ytis,You think I'm special?
4354,ytm,you tell me
4355,ytmnd,You're the man now dog
4356,yty,why thank you
4357,yu,You
4358,yua,you ugly ass
4359,yuo,you
4360,yup,yes
4361,yur,your
4362,yust,why you say that
4363,yvfw,you're very fucking welcome
4364,yvw,you're very welcome
4365,yw,you're welcome
4366,ywapom,you want a piece of me?
4367,ywia,You're welcome in advance
4368,ywic,why would i care
4369,yws,you want sex
4370,ywsyls,you win some you lose some
4371,ywud,yo whats up dude
4372,ywvm,you're welcome very much
4373,ywywm,you wish you were me
4374,yysw,yeah  yeah  sure  whatever
4376,z0mg,oh my god
4377,zex,sex
4378,zh,Zero Hour
4379,zig,cigarette
4380,zomfg,oh my fucking god
4381,zomg,Oh my God
4382,zomgzorrz,oh my god
4383,zoot,woohoo
4384,zot,Zero Tolerance
4385,zt,zoo tycoon
4386,zup,what's up?
4387,iluaaf,i love you as a friend
4388,iwaa,It was an accident
4389,ib,I'm back
4390,ibbl,I'll be back later
4391,igyb,I Got Your Back
4392,imb,I am back
4393,irgtgbtw,I've really got to get back to work
4394,[email protected],I will be right back later
4395,iafh,I Am fucking Hot
4396,iafi,I am from India
4397,idgaf,i don't give a fuck
4398,idgaff,I don't give a flying fuck
4399,idgafs,I don't give a fucking shit
4400,idrgaf,I don't really give a fuck
4401,idrgaff,i don't really give a flying fuck
4402,ijaf,it's just a fact
4403,ilulafklc,I love you like a fat kid loves cake.
4404,ilylafklc,i love you like a fat kid loves cake
4405,irdgaf,i really don't give a fuck
4406,i8,alright
4407,ight,alright
4408,iigh,alright
4409,iight,alright
4410,ite,alright
4411,iyd,In Your Dreams
4412,iajsn,I am just scraping noslang.com
4413,ih,it happens
4414,ianars,I am not a rocket scientist
4415,iccl,I could care less
4416,icw,I care why?
4417,idac,I don't actually care
4418,idc,I don't care
4419,idec,I don't even care
4420,idfc,i don't fucking care
4421,idgara,I don't give a rat's ass
4422,idkwurta,I don't know what you are talking about.
4423,idrc,i don't really care
4424,iebkac,issue exists between keyboard and chair
4425,ifthtb,i find that hard to belive
4426,ih8p,I hate parents
4427,ihmp,i hate my parents
4428,iht,I heard that
4429,ijcomk,i just came on my keyboard
4430,ijf,i just farted
4431,ijsabomomcibstg,I just saved a bunch of money on my car insurance by switching to geico
4432,ilshipmp,I laughed so hard I peed my pants
4433,iluwamh,i love you with all my heart
4434,ilywamh,I love you with all my heart
4435,imao,in my arrogant opinion
4436,imfao,In My fucking Arrogant Opinion
4437,intarwebs,internet
4438,iokiya,it's ok if you are
4439,irdc,I really don't care
4440,is2g,i swear to god
4441,isd,internet slang dictionary
4442,isianmtu,I swear I am not making this up
4443,iso,In Search Of
4444,istg,i swear to god
4445,itd,in the dark
4446,iaspfm,i am sorry please forgive me
4447,icudk,in case you didn't know
4448,icydn,in case you didn't know
4449,icymi,in case you missed it
4450,incrse,increase
4451,itc,in that case
4452,iwc,In Which Case
4453,iatb,I am the best
4454,iois,Indicators of Interest
4456,$$,money
4457,$46 ,money for sex
4458,$h!t,shit
4459,$xy,sexy
4460,/.,Slashdot
4462,>3,LOVE
4463,?4u,Question for you
4465,i c,i see
4466,i8u,i hate you
4469,iab,I Am Bored
4470,iag,it's all good
4471,iah,i am horny
4472,iai,i am interested
4473,ianabs,I am not a brain surgeon
4474,ianacl,I am not a copyright lawyer
4475,ianal,I am not a lawyer
4476,ianalb,I am not a lawyer but
4477,ians,I am Not Sure
4478,ianyl,I am not your lawyer
4479,iap,I Am Pissed
4480,iasb,i am so bored
4481,iateu,i hate you
4482,iavb,i am very bored
4483,iaw,In Another Window
4484,iawtc,I agree with this comment
4485,iawtp,I agree with this post
4486,iawy,I agree with you
4487,ibcd,Idiot between chair & desk
4488,ibs,Internet bitch Slap 
4489,ibt,I'll be there
4490,ibtl,In Before The Lock
4491,ibw,I'll be waiting
4492,ic,I see
4493,icb,I can't believe
4494,icbi,i can't believe it
4495,icbiwoop, I chuckled  but it was out of pity
4496,icbt,i can't believe that
4497,icbu,I can't believe you
4498,icbyst,i cant believe you said that
4499,icgup,I can give you pleasure
4500,icic,I See. I See
4501,icp,insane clown posse
4502,icr,I can't rememer
4503,icsrg,I can still reach Google
4504,ictrn,I can't talk right now
4505,icty,i can't tell you 
4506,icu,i see you
4507,icup,i see you pee
4508,icwudt,I see what you did there
4509,icwum,I see what you mean
4510,icydk,in csae you didn't know
4511,id10t,idiot
4512,idak,i don't actually know
4513,idbtwdsat,I don't believe they would do such a thing
4514,idby,I Don't Believe You
4515,iddi,I didn't do it
4516,idek, I don't even know
4517,idfk,i don't fucking know
4518,idfts,I don't fucking think so
4519,idgac,i don't give a crap
4520,idgad,I don't give a damn
4521,idgas,i don't give a shit
4522,idgi,I don't get it
4523,idjit,idiot
4524,idk,I don't know
4525,idkbibt,I don't know but I've Been Told
4526,idke,I don't know ethier
4527,idkh,I don't know how
4528,idkh2s,i don't know how to spell
4529,idkt,I don't know that
4530,idkw,I don't know why
4531,idkwiwdwu,I don't know what I would do without you
4532,idkwts,I don't know what to say
4533,idkwym,I don't know what you mean
4534,idky,I don't know you
4535,idkyb,i don't know why but
4536,idkymb2,I didn't know yoru mom blogs too
4537,idl,I don't like
4538,idli,I don't like it
4539,idlu,i don't like you
4540,idly,I don't like you
4541,idlyitw,i don't like you in that way
4542,idm,I don't mind
4543,idmhw,im doing my homework
4544,idn,i don't know
4545,idnk,i don't know
4546,idno,i do not know
4547,idntk,i dont need to know
4548,idnwths,i do not want to have sex
4549,idonno,i do not know
4550,idop,it depends on price
4551,idot,idiot
4552,idr,I don't remember
4553,idrfk,I don't really fucking know
4554,idrk,i don't really know
4555,idrts,I don't really think so
4556,idsw,i don't see why
4557,idtis,I don't think I should
4558,idtkso,i don't think so
4559,idts,i don't think so
4560,idunno,i do not know
4561,iduwym,I don't understand what you mean.
4562,idw2,I don't want to
4563,idw2n,i don't want to know
4564,idwk,I don't wanna know
4565,idwt,i don't want to
4566,idwtg,I don't want to go
4567,idyat,idiot
4568,ietf,internet engineering task force
4569,iff,if and only if
4570,ifhu,I fucking hate you
4571,ifhy,i fucking hate you
4572,ifk,I fucking know
4573,iflu,i fucking love you
4574,ifttt,if this then that 
4575,ifwis,I forgot what I said
4576,ig,I guess
4577,ig2g,I got to go
4578,ig5oi,I got 5 on it 
4579,igahp,I've got a huge penis
4580,igalboc,I've got a lovely bunch of cocnuts
4581,igg,i gotta go
4582,igkymfa,I'm gonna kick your mother fucking ass
4583,igs,I guess so
4584,igt,I Got This
4585,igtg,i've got to go
4586,igtgt,I got to go tinkle
4587,igtkya,im going to kick your ass
4588,igu,i give up
4589,ih2gp,I have to go pee
4590,ih2p,i'll have to pass
4591,ih8,i hate
4592,ih8evry1,i hate everyone
4593,ih8mls,I hate my little sister 
4594,ih8tu,i hate you
4595,ih8u,I hate you
4596,ih8usm,i hate you so much
4597,ih8y,I hate you
4598,ihac,I have a customer
4599,ihat3u,I hate you
4600,ihistr,i hope i spelled that right
4601,ihiwydt,I hate it when you do that
4602,ihml,I hate my life
4603,ihnc,i have no clue
4604,ihnfc,I have no fucking clue
4605,ihni,i have no idea
4606,ihtfp,I hate this fucking place
4607,ihtgttbwijd,I have to go to the bathroom  wait I just did
4608,ihtp,I Have To Poop
4609,ihtsm,i hate this so much
4610,ihtutbr,I have to use the bathroom
4611,ihu,I hate you
4612,ihurg,i hate your guts
4613,ihusb,i hate you so bad 
4614,ihusfm,i hate you so fucking much
4615,ihusm,i hate you so much
4616,ihy,i hate you
4617,ihya,i hate you all
4618,ihysm,I hate you so much
4619,ihysmrn,i hate you so much right now
4620,iiok,is it okay
4621,iirc,if I recall correctly
4622,iistgtbtipi,If It Sounds Too Good To Be True It Probably Is
4623,iit,is it tight
4624,iitywimwybmad,if I tell you what it means will you buy me a drink
4625,iitywybmad,if I tell you  will you buy me a drink?
4626,iiuc,if I understand correctly
4627,iiw2,is it web 2.0?
4628,iiwii,it is what it is
4629,ij,indide joke
4630,ijdk,I just don't know
4631,ijdl,I just died laughing
4632,ijeomk,I just ejaculated on my keybord
4633,ijgl,I just got laid
4634,ijit,idiot
4635,ijk,I'm Just kidding
4636,ijp,Internet job posting
4637,ijpmp,I just peed my pants
4638,ijpms,I just pissed myself
4639,ijr,i just remembered
4640,ijs,I'm just saying
4641,ik,i know
4642,iki,i know it
4643,ikic,I know I can
4644,ikm,I know man
4645,ikr,I know really
4646,ikt,i knew that
4647,ikwud,I know what you did
4648,ikwum,I know what you meant
4649,ikwyl,I know where you live
4650,ikwym,i know what you mean
4651,ilbbaicnl,I like big butts and I can not lie
4652,ilbcnu,i'll be seeing you
4653,ilcul8r,I'll see you later
4654,ilhsm,i love him/her so much
4655,ili,i love it
4656,ilk2fku,I would like to fuck you
4657,ilml,I Love My Life
4658,ilms,I love my self
4659,ilotibinlirl,I'm laughing on the internet but I'm not laughing in real life
4660,iltf,i love to fuck
4661,iltwummf,i love the way you make me feel
4662,iltwymmf,I love the way you make me feel
4663,ilu,I love you
4664,ilu2,I love you too
4665,ilul,I love you loads 
4666,ilum,i love you more
4667,ilusfm,I love you so fucking much
4668,ilusm,I love you So much
4669,iluvm,I Love You Very Much
4670,iluvu,i love you
4671,iluvya,i love you
4672,ilvu,i love you
4673,ily,i love you
4674,ily2,i love you too
4675,ily4e,i love you forever
4676,ily4ev,i love you forever
4677,ilyaas,I Love You As A Sister
4678,ilyal,I like you a lot
4679,ilyb,i love you bitch
4680,ilybby,i love you baby
4681,ilybtid,I Love You But Then I Don't
4682,ilyf,I'll Love You Forever
4683,ilygsm,i love you guys so much
4684,ilykthnxbai,i love you k thanks bye
4685,ilyl,i love you loads
4686,ilylab,I love you like a brother
4687,ilylabf,I love you like a best friend
4688,ilylas,i love you like a sister
4689,ilylc,i love you like crazy
4690,ilym, i love you more
4691,ilymtyk,i love you more than you know
4692,ilymtylm,i love you more than you love me
4693,ilys,i love you sexy
4694,ilysfm,i love you so fucking much
4695,ilysfmb,i love you so fucking much baby
4696,ilysm,i love you so much
4697,ilysmih,i love you so much it hurts
4698,ilysmm,i love you so much more
4699,ilysmydek,I Love You So Much You Don't Even Know
4700,ilysvm,i love you so very much
4701,ilyvm,i love you very much
4702,im,i am
4703,im'd,instant messaged
4704,im26c4u,I am too sexy for you
4705,ima,I am a
4706,imcdo,in my conceited dogmatic opinion
4707,imed,instant messaged
4708,imfo,in my fucking opinion
4709,imh,I am here
4710,imhbco,In my humble but correct opinion
4711,imhe,in my humble experience
4712,imho,in my humble opinion
4713,imm,instant message me
4714,imma,I'm going to
4715,imnerho,In my not even remotely humble opinion
4716,imnl,I'm not laughing
4717,imnshmfo,In My Not So Humble Mother fucking Opinion
4718,imnsho,in my not so humble opinion
4719,imo,in my opinion
4720,imoo,in my own opinion
4721,impo,In My Personal Opinion
4722,impov,in my point of view
4723,imr,in my room
4724,imsb,i am so bored
4725,imsry,I am sorry
4726,imtaw,it may take a while
4727,imts,I meant to say
4728,imu,i miss you 
4729,imusm,I miss you so much
4730,imvho,in my very humble opinion
4731,imwtk,Inquiring minds want to know
4732,imy,I miss you
4733,imy2,i miss you to
4734,imya,i miss you already
4735,imysfm,i miss you so fucking much
4736,in2,into
4737,inb4,in before
4738,inbd,it's no big deal
4739,incld,include
4740,ind2p,I need to pee
4741,indie,independent
4742,inef,it's not even funny
4743,inet,internet
4744,inh,I need help
4745,inho,in my honest opinion
4746,inhwh,I need homework help
4747,init,isn't it
4748,inmp,it's not my problem
4749,innit,isn't it
4750,ino,I know
4751,instagib,instant kill
4752,instakill,instant kill
4753,intel,intelligence
4754,interweb,internet
4755,intpftpotm,I nominate this post for the post of the month
4756,inttwmf,I am Not Typing This With My Fingers
4757,invu,I envy you
4758,ioh,I'm out of here
4759,iomw,I'm on my way
4760,ionno,I don't know
4761,iono,I don't know
4762,iotd,image of the day
4763,iou,i owe you
4764,iow,in other words
4765,ioya,I'd Own Your ass
4766,ioyk,if only you knew
4767,ip,internet protocol
4768,irc,internet relay chat
4769,ircd,Internet Relay Chat daemon
4770,ircx,Internet Relay Chat eXtension
4771,irdk,I really don't know
4772,irhtgttbr,I really have to go to the bathroom
4773,irhy,i really hate you
4774,irl,in real life
4775,irly,I really love you
4776,irt,in reply to
4777,irtf,I'll return the favor
4778,isb,I'm so bored.
4779,isbya,im sorry but you asked
4780,ise,internal server error
4781,isfly,i so fucking love you
4782,isg,I speak geek
4783,ishii,i see how it is
4784,isj,inside joke
4785,isp,internet service provider
4786,iss,im so sorry
4787,istr,I seem to remember
4788,istwfn,I stole this word from noslang.com
4789,iswydt,i see what you did there
4790,ita,I Totally Agree
4791,itb,in the butt
4792,itk,in the know
4793,itn,I think not
4794,itt,in this thread
4795,ityltk,I thought you'd like to know
4796,itys, i told you so
4797,itz,it's
4798,itzk,it's ok
4799,iucmd,if you catch my drift
4800,iukwim,if you know what i mean
4801,iunno,I don't know
4802,iuno,i dunno
4803,ive,i have
4804,iw2f,i want to fuck
4805,iw2fu,i want to fuck you
4806,iw2mu,I want to meet you
4807,iwfusb,i wanna fuck you so bad
4808,iwfy,I want to fuck you
4809,iwfybo,i will fuck your brains out
4810,iwg,it was good
4811,iwhi,I would hit it
4812,iwhswu,I want to have sex with you
4813,iwjk,i was just kidding
4814,iwk,I wouldn't know
4815,iwlu4e,I will love you for ever
4816,iwmu,i will miss you
4817,iwmy,i will miss you
4818,iws,i want sex
4819,iwsn,i want sex now
4820,iwsul8r,I will see you later
4821,iwtfu,i want to fuck you
4822,iwtfy,i want to fuck you
4823,iwthswy,i want to have sex with you
4824,iwtk,I Want to Know
4825,iwtly,i want to love you
4826,iwu,i want you
4827,iwuwh,i wish you were here 
4828,iwy,i want you
4829,iwyb,I want your body
4830,iwyn,I want you now
4831,iwythmb,i want you to have my baby
4832,iya,In your ass
4833,iyam,if you ask me
4834,iyc,if you can
4835,iydhantsdsaaa,If you don't have anything nice to say don't say anything at all
4836,iydmma,if you don't mind me asking
4837,iyf,In your face
4838,iyflg,If You're Feeling Less Generous
4839,iygm,if you get me
4840,iykwim,if you know what I mean
4841,iym,I am your man
4842,iyo,in your opinion
4843,iyq,I like you
4844,iyss,if you say so
4845,iyswim,if you see what I mean
4846,iywt,if you want to
4847,iz,is
4848,^,up
4849,^^&>,up up and away
4854,i <3 u,I love you
